CNTY_FIPS	CNTY_NAME	ST_NAME	MKT2015	CNTY_CWIFTEST	CNTY_CWIFTSE
01001	Autauga County	Alabama	01051	0.821	0.033
01003	Baldwin County	Alabama	01003	0.824	0.025
01005	Barbour County	Alabama	01109	0.907	0.036
01007	Bibb County	Alabama	01065	0.812	0.047
01009	Blount County	Alabama	01115	0.82	0.03
01011	Bullock County	Alabama	01113	0.772	0.042
01013	Butler County	Alabama	01041	0.907	0.054
01015	Calhoun County	Alabama	01015	0.815	0.03
01017	Chambers County	Alabama	01027	0.81	0.038
01019	Cherokee County	Alabama	01027	0.81	0.038
01021	Chilton County	Alabama	01027	0.81	0.038
01023	Choctaw County	Alabama	01119	0.816	0.057
01025	Clarke County	Alabama	01119	0.816	0.057
01027	Clay County	Alabama	01027	0.81	0.038
01029	Cleburne County	Alabama	01027	0.81	0.038
01031	Coffee County	Alabama	01031	0.772	0.039
01033	Colbert County	Alabama	01033	0.811	0.035
01035	Conecuh County	Alabama	01039	0.78	0.033
01037	Coosa County	Alabama	01027	0.81	0.038
01039	Covington County	Alabama	01039	0.78	0.033
01041	Crenshaw County	Alabama	01041	0.907	0.054
01043	Cullman County	Alabama	01043	0.871	0.035
01045	Dale County	Alabama	01045	0.872	0.029
01047	Dallas County	Alabama	01047	0.819	0.045
01049	DeKalb County	Alabama	01049	0.723	0.034
01051	Elmore County	Alabama	01051	0.821	0.033
01053	Escambia County	Alabama	01041	0.907	0.054
01055	Etowah County	Alabama	01055	0.768	0.027
01057	Fayette County	Alabama	01065	0.812	0.047
01059	Franklin County	Alabama	01093	0.775	0.047
01061	Geneva County	Alabama	01039	0.78	0.033
01063	Greene County	Alabama	01065	0.812	0.047
01065	Hale County	Alabama	01065	0.812	0.047
01067	Henry County	Alabama	01045	0.872	0.029
01069	Houston County	Alabama	01069	0.831	0.019
01071	Jackson County	Alabama	01049	0.723	0.034
01073	Jefferson County	Alabama	01073	0.935	0.01
01075	Lamar County	Alabama	01065	0.812	0.047
01077	Lauderdale County	Alabama	01077	0.77	0.034
01079	Lawrence County	Alabama	01093	0.775	0.047
01081	Lee County	Alabama	01081	0.823	0.025
01083	Limestone County	Alabama	01083	0.911	0.045
01085	Lowndes County	Alabama	01047	0.819	0.045
01087	Macon County	Alabama	01113	0.772	0.042
01089	Madison County	Alabama	01089	0.962	0.01
01091	Marengo County	Alabama	01065	0.812	0.047
01093	Marion County	Alabama	01093	0.775	0.047
01095	Marshall County	Alabama	01095	0.744	0.035
01097	Mobile County	Alabama	01097	0.863	0.013
01099	Monroe County	Alabama	01041	0.907	0.054
01101	Montgomery County	Alabama	01101	0.886	0.014
01103	Morgan County	Alabama	01103	0.821	0.026
01105	Perry County	Alabama	01065	0.812	0.047
01107	Pickens County	Alabama	01065	0.812	0.047
01109	Pike County	Alabama	01109	0.907	0.036
01111	Randolph County	Alabama	01027	0.81	0.038
01113	Russell County	Alabama	01113	0.772	0.042
01115	St. Clair County	Alabama	01115	0.82	0.03
01117	Shelby County	Alabama	01117	0.898	0.017
01119	Sumter County	Alabama	01119	0.816	0.057
01121	Talladega County	Alabama	01121	0.769	0.045
01123	Tallapoosa County	Alabama	01113	0.772	0.042
01125	Tuscaloosa County	Alabama	01125	0.883	0.018
01127	Walker County	Alabama	01115	0.82	0.03
01129	Washington County	Alabama	01119	0.816	0.057
01131	Wilcox County	Alabama	01047	0.819	0.045
01133	Winston County	Alabama	01093	0.775	0.047
02013	Aleutians East Borough	Alaska	02013	0.839	0.064
02016	Aleutians West Census Area	Alaska	02013	0.839	0.064
02020	Anchorage Municipality	Alaska	02020	1.076	0.014
02050	Bethel Census Area	Alaska	02013	0.839	0.064
02060	Bristol Bay Borough	Alaska	02013	0.839	0.064
02068	Denali Borough	Alaska	02261	0.94	0.089
02070	Dillingham Census Area	Alaska	02013	0.839	0.064
02090	Fairbanks North Star Borough	Alaska	02090	1.003	0.025
02100	Haines Borough	Alaska	99999	0.901	0.064
02105	Hoonah-Angoon Census Area	Alaska	99999	0.901	0.064
02110	Juneau City and Borough	Alaska	02110	0.957	0.038
02122	Kenai Peninsula Borough	Alaska	02122	0.937	0.047
