GeoId|Geography|LEAID|Year|Iteration|PDP03.8_72pct|PDP03.8_72pctmoe|PDP03.8_73pct|PDP03.8_73pctmoe|PDP03.8_74pct|PDP03.8_74pctmoe|PDP03.8_75pct|PDP03.8_75pctmoe
97000US2700106|A.C.G.C. Public School District|2700106|2014-2018|202|11.8|3.1|11.8|3.1|11.8|3.1|-|**
97000US4500690|Abbeville County School District|4500690|2014-2018|202|21.9|5.5|21.9|5.5|21.9|5.5|0.0|100.0
97000US5500030|Abbotsford School District|5500030|2014-2018|202|16.0|6.9|16.0|6.9|16.1|6.9|0.0|100.0
97000US4807380|Abbott Independent School District|4807380|2014-2018|202|0.0|17.3|0.0|17.3|0.0|17.3|-|**
97000US5300030|Aberdeen School District|5300030|2014-2018|202|18.3|5.1|18.3|5.1|18.4|5.2|0.0|98.9
97000US2800360|Aberdeen School District|2800360|2014-2018|202|14.9|7.5|14.9|7.5|15.1|7.6|0.0|88.4
97000US1600030|Aberdeen School District 58|1600030|2014-2018|202|16.0|12.5|16.0|12.5|16.0|12.6|0.0|100.0
97000US4807410|Abernathy Independent School District|4807410|2014-2018|202|6.9|6.9|6.9|6.9|6.9|6.9|-|**
97000US4807440|Abilene Independent School District|4807440|2014-2018|202|16.7|2.3|16.7|2.4|16.8|2.4|0.0|100.0
97000US2003180|Abilene Unified School District 435|2003180|2014-2018|202|2.3|2.2|2.3|2.2|2.3|2.2|0.0|100.0
97000US3400660|Absecon City School District|3400660|2014-2018|202|5.8|3.9|5.8|3.9|5.8|3.9|-|**
97000US1700105|A-C Central Community Unit School District 262|1700105|2014-2018|202|2.0|2.2|2.0|2.2|2.0|2.2|-|**
97000US4807470|Academy Independent School District|4807470|2014-2018|202|2.6|2.3|2.6|2.3|2.6|2.3|-|**
97000US2200030|Acadia Parish School District|2200030|2014-2018|202|21.5|3.9|21.5|3.9|21.6|3.9|0.0|39.7
97000US5100060|Accomack County Public Schools|5100060|2014-2018|202|22.4|6.1|22.4|6.1|22.4|6.1|20.0|38.6
97000US0600001|Acton-Agua Dulce Unified School District|0600001|2014-2018|202|5.1|3.7|5.1|3.7|5.2|3.7|0.0|58.2
97000US2700126|Ada-Borup Public School District|2700126|2014-2018|202|8.6|4.5|8.7|4.6|8.8|4.6|0.0|100.0
97000US2100030|Adair County School District|2100030|2014-2018|202|23.3|6.4|23.3|6.4|23.4|6.4|0.0|76.1
97000US1903090|Adair-Casey Community School District|1903090|2014-2018|202|6.9|4.3|6.9|4.3|6.9|4.3|-|**
97000US1800060|Adams Central Community Schools|1800060|2014-2018|202|21.1|7.6|21.1|7.6|21.1|7.6|-|**
97000US5500060|Adams-Friendship Area School District|5500060|2014-2018|202|22.4|5.0|22.4|5.0|22.5|5.1|19.0|24.6
97000US5099903|Addison Central Supervisory Union|5099903|2014-2018|202|6.0|3.1|6.0|3.1|6.1|3.1|0.0|53.4
97000US5099901|Addison Northeast Supervisory Union|5099901|2014-2018|202|8.4|4.5|8.5|4.5|8.5|4.5|-|**
97000US5099902|Addison Northwest Supervisory Union|5099902|2014-2018|202|2.6|1.5|2.6|1.5|2.6|1.5|-|**
97000US5099904|Addison Rutland Supervisory Union|5099904|2014-2018|202|8.0|3.4|8.0|3.4|8.1|3.4|0.0|70.1
95000US1703150|Addison School District 4|1703150|2014-2018|202|10.8|3.9|10.8|3.9|10.8|3.9|-|**
97000US1903150|Adel-De Soto-Minburn Community School District|1903150|2014-2018|202|4.8|5.2|4.8|5.2|4.8|5.3|0.0|82.3
97000US4600042|Agar-Blunt-Onida School District 58-3|4600042|2014-2018|202|2.6|2.7|2.6|2.7|2.6|2.7|-|**
97000US4807530|Agua Dulce Independent School District|4807530|2014-2018|202|14.3|13.1|14.3|13.1|14.7|13.5|0.0|100.0
96000US0400450|Agua Fria Union High School District|0400450|2014-2018|202|8.7|2.4|8.7|2.4|8.8|2.5|0.0|26.0
97000US1903060|AGWSR Community School District|1903060|2014-2018|202|4.3|2.5|4.3|2.5|4.3|2.5|0.0|100.0
97000US4500720|Aiken County School District|4500720|2014-2018|202|16.5|2.1|16.5|2.1|16.5|2.1|7.9|14.8
95000US1703210|Akin Community Consolidated School District 91|1703210|2014-2018|202|6.1|6.4|6.1|6.4|6.1|6.4|-|**
97000US1903220|Akron-Westfield Community School District|1903220|2014-2018|202|5.4|5.1|5.4|5.1|5.4|5.1|-|**
97000US0100190|Alabaster City School District|0100190|2014-2018|202|10.2|2.7|10.2|2.7|10.2|2.7|-|**
97000US1200030|Alachua County School District|1200030|2014-2018|202|12.2|1.6|12.2|1.6|12.2|1.6|21.7|18.3
97000US3700030|Alamance-Burlington Schools|3700030|2014-2018|202|15.4|2.0|15.4|2.0|15.4|2.0|3.8|6.2
95000US4700030|Alamo City School District|4700030|2014-2018|202|27.7|17.9|27.7|17.9|28.8|18.4|0.0|72.5
97000US4807590|Alamo Heights Independent School District|4807590|2014-2018|202|2.8|2.1|2.8|2.1|2.8|2.1|0.0|73.6
97000US3500030|Alamogordo Public Schools|3500030|2014-2018|202|21.7|4.8|21.7|4.8|21.8|4.8|0.0|98.9
97000US0200050|Alaska Gateway School District|0200050|2014-2018|202|22.5|10.4|22.5|10.4|22.7|10.6|0.0|100.0
