"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","6493448"
"Annual Survey of School System Finance","Alabama","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","6641973"
"Annual Survey of School System Finance","Alabama","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","6802467"
"Annual Survey of School System Finance","Alabama","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","6826622"
"Annual Survey of School System Finance","Alabama","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","6998941"
"Annual Survey of School System Finance","Alabama","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","7208823"
"Annual Survey of School System Finance","Alabama","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","7327918"
"Annual Survey of School System Finance","Alabama","2012","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1399800"
"Annual Survey of School System Finance","Alabama","2013","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1402401"
"Annual Survey of School System Finance","Alabama","2014","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1467521"
"Annual Survey of School System Finance","Alabama","2015","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1523592"
"Annual Survey of School System Finance","Alabama","2016","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1550670"
"Annual Survey of School System Finance","Alabama","2017","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1608057"
"Annual Survey of School System Finance","Alabama","2018","CSFEB","Elementary-secondary education school system current expenditures All functions Employee benefits","State and Local ","1624253"
"Annual Survey of School System Finance","Alabama","2012","CSFSW","Elementary-secondary education school system current expenditures All functions Salaries and wages","State and Local ","3719862"
"Annual Survey of School System Finance","Alabama","2013","CSFSW","Elementary-secondary education school system current expenditures All functions Salaries and wages","State and Local ","3755884"
"Annual Survey of School System Finance","Alabama","2014","CSFSW","Elementary-secondary education school system current expenditures All functions Salaries and wages","State and Local ","3796828"
"Annual Survey of School System Finance","Alabama","2015","CSFSW","Elementary-secondary education school system current expenditures All functions Salaries and wages","State and Local ","3777322"
