"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","1880"
"Annual Survey of School System Finance","Alabama","2013","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","1884"
"Annual Survey of School System Finance","Alabama","2014","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","1983"
"Annual Survey of School System Finance","Alabama","2015","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","2073"
"Annual Survey of School System Finance","Alabama","2016","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","2085"
"Annual Survey of School System Finance","Alabama","2017","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","2159"
"Annual Survey of School System Finance","Alabama","2018","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","State and Local ","2188"
"Annual Survey of School System Finance","Alabama","2012","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","4996"
"Annual Survey of School System Finance","Alabama","2013","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5045"
"Annual Survey of School System Finance","Alabama","2014","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5130"
"Annual Survey of School System Finance","Alabama","2015","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5139"
"Annual Survey of School System Finance","Alabama","2016","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5156"
"Annual Survey of School System Finance","Alabama","2017","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5350"
"Annual Survey of School System Finance","Alabama","2018","CSFSWP","Elementary-secondary education school system current expenditures Salaries and wages per pupil","State and Local ","5417"
"Annual Survey of School System Finance","Alabama","2012","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1172"
"Annual Survey of School System Finance","Alabama","2013","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1169"
"Annual Survey of School System Finance","Alabama","2014","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1234"
"Annual Survey of School System Finance","Alabama","2015","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1284"
"Annual Survey of School System Finance","Alabama","2016","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1287"
"Annual Survey of School System Finance","Alabama","2017","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1337"
"Annual Survey of School System Finance","Alabama","2018","CSIEBP","Elementary-secondary education school system current expenditures Instruction Employee benefits per pupil","State and Local ","1358"
"Annual Survey of School System Finance","Alabama","2012","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3279"
"Annual Survey of School System Finance","Alabama","2013","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3308"
"Annual Survey of School System Finance","Alabama","2014","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3359"
"Annual Survey of School System Finance","Alabama","2015","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3354"
"Annual Survey of School System Finance","Alabama","2016","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3344"
"Annual Survey of School System Finance","Alabama","2017","CSISWP","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3466"
