"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.4"
"Annual Survey of School System Finance","Alabama","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.6"
"Annual Survey of School System Finance","Alabama","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.2"
"Annual Survey of School System Finance","Alabama","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.1"
"Annual Survey of School System Finance","Alabama","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Alabama","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Alabama","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.1"
"Annual Survey of School System Finance","Alabama","2012","FST","Revenue from federal sources Total (%)","State and Local ","11.1"
"Annual Survey of School System Finance","Alabama","2013","FST","Revenue from federal sources Total (%)","State and Local ","11.3"
"Annual Survey of School System Finance","Alabama","2014","FST","Revenue from federal sources Total (%)","State and Local ","10.8"
"Annual Survey of School System Finance","Alabama","2015","FST","Revenue from federal sources Total (%)","State and Local ","10.8"
"Annual Survey of School System Finance","Alabama","2016","FST","Revenue from federal sources Total (%)","State and Local ","10.6"
"Annual Survey of School System Finance","Alabama","2017","FST","Revenue from federal sources Total (%)","State and Local ","10.3"
"Annual Survey of School System Finance","Alabama","2018","FST","Revenue from federal sources Total (%)","State and Local ","10.5"
"Annual Survey of School System Finance","Alabama","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","4.6"
"Annual Survey of School System Finance","Alabama","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","4.6"
"Annual Survey of School System Finance","Alabama","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","4.6"
"Annual Survey of School System Finance","Alabama","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","4.4"
"Annual Survey of School System Finance","Alabama","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","4.6"
"Annual Survey of School System Finance","Alabama","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","4.2"
"Annual Survey of School System Finance","Alabama","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","4.2"
"Annual Survey of School System Finance","Alabama","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","9.3"
"Annual Survey of School System Finance","Alabama","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","9.4"
"Annual Survey of School System Finance","Alabama","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","9.4"
"Annual Survey of School System Finance","Alabama","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","9.7"
"Annual Survey of School System Finance","Alabama","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","10.4"
"Annual Survey of School System Finance","Alabama","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","11.3"
"Annual Survey of School System Finance","Alabama","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","10.8"
"Annual Survey of School System Finance","Alabama","2012","LST","Revenue from local sources Total (%)","State and Local ","33.6"
"Annual Survey of School System Finance","Alabama","2013","LST","Revenue from local sources Total (%)","State and Local ","34.2"
"Annual Survey of School System Finance","Alabama","2014","LST","Revenue from local sources Total (%)","State and Local ","34.4"
