"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","789954"
"Annual Survey of School System Finance","Alabama","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","811739"
"Annual Survey of School System Finance","Alabama","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","794090"
"Annual Survey of School System Finance","Alabama","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","795238"
"Annual Survey of School System Finance","Alabama","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","803907"
"Annual Survey of School System Finance","Alabama","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","811407"
"Annual Survey of School System Finance","Alabama","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","844445"
"Annual Survey of School System Finance","Alabama","2012","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","3223"
"Annual Survey of School System Finance","Alabama","2013","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","3429"
"Annual Survey of School System Finance","Alabama","2014","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","2916"
"Annual Survey of School System Finance","Alabama","2015","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","3135"
"Annual Survey of School System Finance","Alabama","2016","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","2309"
"Annual Survey of School System Finance","Alabama","2017","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","2356"
"Annual Survey of School System Finance","Alabama","2018","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","2577"
