"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2396500"
"Annual Survey of School System Finance","Alabama","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2443158"
"Annual Survey of School System Finance","Alabama","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2529910"
"Annual Survey of School System Finance","Alabama","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2483074"
"Annual Survey of School System Finance","Alabama","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2652925"
"Annual Survey of School System Finance","Alabama","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2747957"
"Annual Survey of School System Finance","Alabama","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","2793330"
"Annual Survey of School System Finance","Alabama","2012","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","666893"
"Annual Survey of School System Finance","Alabama","2013","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","671810"
"Annual Survey of School System Finance","Alabama","2014","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","693753"
"Annual Survey of School System Finance","Alabama","2015","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","714993"
"Annual Survey of School System Finance","Alabama","2016","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","790743"
"Annual Survey of School System Finance","Alabama","2017","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","896661"
"Annual Survey of School System Finance","Alabama","2018","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","871256"
"Annual Survey of School System Finance","Alabama","2012","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","198987"
"Annual Survey of School System Finance","Alabama","2013","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","209738"
"Annual Survey of School System Finance","Alabama","2014","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","213920"
"Annual Survey of School System Finance","Alabama","2015","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","217779"
"Annual Survey of School System Finance","Alabama","2016","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","230118"
"Annual Survey of School System Finance","Alabama","2017","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","227124"
"Annual Survey of School System Finance","Alabama","2018","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","228187"
"Annual Survey of School System Finance","Alabama","2012","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","256627"
