"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3948651"
"Annual Survey of School System Finance","Alabama","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3898347"
"Annual Survey of School System Finance","Alabama","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4031547"
"Annual Survey of School System Finance","Alabama","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4080167"
"Annual Survey of School System Finance","Alabama","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4148764"
"Annual Survey of School System Finance","Alabama","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4350594"
"Annual Survey of School System Finance","Alabama","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4430889"
"Annual Survey of School System Finance","Alabama","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","84038"
"Annual Survey of School System Finance","Alabama","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","79066"
"Annual Survey of School System Finance","Alabama","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","65786"
"Annual Survey of School System Finance","Alabama","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","63948"
"Annual Survey of School System Finance","Alabama","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","65750"
"Annual Survey of School System Finance","Alabama","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","57870"
"Annual Survey of School System Finance","Alabama","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","59809"
"Annual Survey of School System Finance","Alabama","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3265967"
"Annual Survey of School System Finance","Alabama","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3280844"
"Annual Survey of School System Finance","Alabama","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3339797"
"Annual Survey of School System Finance","Alabama","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3400710"
"Annual Survey of School System Finance","Alabama","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3460392"
"Annual Survey of School System Finance","Alabama","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3634883"
"Annual Survey of School System Finance","Alabama","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3653421"
"Annual Survey of School System Finance","Alabama","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","297940"
"Annual Survey of School System Finance","Alabama","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","273549"
"Annual Survey of School System Finance","Alabama","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","322401"
"Annual Survey of School System Finance","Alabama","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","303286"
"Annual Survey of School System Finance","Alabama","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","301930"
"Annual Survey of School System Finance","Alabama","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","321453"
"Annual Survey of School System Finance","Alabama","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","377705"
"Annual Survey of School System Finance","Alabama","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1569"
"Annual Survey of School System Finance","Alabama","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1580"
"Annual Survey of School System Finance","Alabama","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1501"
"Annual Survey of School System Finance","Alabama","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","486"
"Annual Survey of School System Finance","Alabama","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","366"
"Annual Survey of School System Finance","Alabama","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","606"
"Annual Survey of School System Finance","Alabama","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","725"
"Annual Survey of School System Finance","Alabama","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","299137"
"Annual Survey of School System Finance","Alabama","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","263308"
"Annual Survey of School System Finance","Alabama","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","302062"
"Annual Survey of School System Finance","Alabama","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","311737"
"Annual Survey of School System Finance","Alabama","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","320326"
"Annual Survey of School System Finance","Alabama","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","335782"
"Annual Survey of School System Finance","Alabama","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","339229"
"Annual Survey of School System Finance","Alabama","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alabama","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1507913"
"Annual Survey of School System Finance","Alaska","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1707449"
"Annual Survey of School System Finance","Alaska","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1824373"
"Annual Survey of School System Finance","Alaska","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2026555"
"Annual Survey of School System Finance","Alaska","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1613675"
"Annual Survey of School System Finance","Alaska","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1600503"
"Annual Survey of School System Finance","Alaska","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1579468"
"Annual Survey of School System Finance","Alaska","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1101763"
"Annual Survey of School System Finance","Alaska","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1152263"
"Annual Survey of School System Finance","Alaska","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1158541"
"Annual Survey of School System Finance","Alaska","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1209324"
"Annual Survey of School System Finance","Alaska","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1189445"
"Annual Survey of School System Finance","Alaska","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1215478"
"Annual Survey of School System Finance","Alaska","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1201802"
"Annual Survey of School System Finance","Alaska","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","253725"
"Annual Survey of School System Finance","Alaska","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","326835"
"Annual Survey of School System Finance","Alaska","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","340343"
"Annual Survey of School System Finance","Alaska","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","503153"
"Annual Survey of School System Finance","Alaska","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","141083"
"Annual Survey of School System Finance","Alaska","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","125439"
"Annual Survey of School System Finance","Alaska","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","116860"
"Annual Survey of School System Finance","Alaska","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","81862"
"Annual Survey of School System Finance","Alaska","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","154810"
"Annual Survey of School System Finance","Alaska","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","250469"
"Annual Survey of School System Finance","Alaska","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","237033"
"Annual Survey of School System Finance","Alaska","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","204362"
"Annual Survey of School System Finance","Alaska","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","186701"
"Annual Survey of School System Finance","Alaska","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","182321"
"Annual Survey of School System Finance","Alaska","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","70563"
"Annual Survey of School System Finance","Alaska","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","73541"
"Annual Survey of School System Finance","Alaska","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","75020"
"Annual Survey of School System Finance","Alaska","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","77045"
"Annual Survey of School System Finance","Alaska","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","78785"
"Annual Survey of School System Finance","Alaska","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","72885"
"Annual Survey of School System Finance","Alaska","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","78485"
"Annual Survey of School System Finance","Alaska","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2845535"
"Annual Survey of School System Finance","Arizona","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2934165"
"Annual Survey of School System Finance","Arizona","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3182285"
"Annual Survey of School System Finance","Arizona","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3232013"
"Annual Survey of School System Finance","Arizona","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3440726"
"Annual Survey of School System Finance","Arizona","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3446191"
"Annual Survey of School System Finance","Arizona","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3579887"
"Annual Survey of School System Finance","Arizona","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","18528"
"Annual Survey of School System Finance","Arizona","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","18066"
"Annual Survey of School System Finance","Arizona","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2769804"
"Annual Survey of School System Finance","Arizona","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2849321"
"Annual Survey of School System Finance","Arizona","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3100895"
"Annual Survey of School System Finance","Arizona","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3156518"
"Annual Survey of School System Finance","Arizona","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3338905"
"Annual Survey of School System Finance","Arizona","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3345803"
"Annual Survey of School System Finance","Arizona","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","3444808"
"Annual Survey of School System Finance","Arizona","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","47535"
"Annual Survey of School System Finance","Arizona","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","57304"
"Annual Survey of School System Finance","Arizona","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","72222"
"Annual Survey of School System Finance","Arizona","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","66360"
"Annual Survey of School System Finance","Arizona","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","92958"
"Annual Survey of School System Finance","Arizona","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","91363"
"Annual Survey of School System Finance","Arizona","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","125538"
"Annual Survey of School System Finance","Arizona","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","74"
"Annual Survey of School System Finance","Arizona","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","88"
"Annual Survey of School System Finance","Arizona","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
