"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","District of Columbia","2012","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2013","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2014","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2015","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2016","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2017","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2018","SSP","Elementary-secondary education school system revenue from state sources per pupil","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2015","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","Alaska","2018","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2012","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2013","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2015","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2016","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2018","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2012","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2013","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2014","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","1"
