"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2208750"
"Annual Survey of School System Finance","Alabama","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2220159"
"Annual Survey of School System Finance","Alabama","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2177633"
"Annual Survey of School System Finance","Alabama","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2110042"
"Annual Survey of School System Finance","Alabama","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2401927"
"Annual Survey of School System Finance","Alabama","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2546362"
"Annual Survey of School System Finance","Alabama","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2561532"
"Annual Survey of School System Finance","Alabama","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","580949"
"Annual Survey of School System Finance","Alabama","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","643522"
"Annual Survey of School System Finance","Alabama","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","580934"
"Annual Survey of School System Finance","Alabama","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","510091"
"Annual Survey of School System Finance","Alabama","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","667386"
"Annual Survey of School System Finance","Alabama","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","636268"
"Annual Survey of School System Finance","Alabama","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","650947"
"Annual Survey of School System Finance","Alabama","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","6493448"
"Annual Survey of School System Finance","Alabama","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","6641973"
