STNAM,FIPST,LEAID,leanm11,ALL_MTH04numvalid_1112,ALL_MTH04pctprof_1112,ECD_MTH04numvalid_1112,ECD_MTH04pctprof_1112,HOM_MTH04numvalid_1112,HOM_MTH04pctprof_1112,ALL_MTH08numvalid_1112,ALL_MTH08pctprof_1112,ECD_MTH08numvalid_1112,ECD_MTH08pctprof_1112,HOM_MTH08numvalid_1112,HOM_MTH08pctprof_1112
ALABAMA,1,100002,Alabama Youth Services,,,,,,,31.0,44.0,15.0,25.0,1.0,
ALABAMA,1,100005,Albertville City,310.0,90.0,219.0,87.0,3.0,,307.0,83.0,204.0,77.0,4.0,
ALABAMA,1,100006,Marshall County,441.0,91.0,339.0,90.0,15.0,25.0,462.0,88.0,309.0,86.0,11.0,25.0
ALABAMA,1,100007,Hoover City,978.0,84.0,240.0,67.0,,,1028.0,91.0,221.0,77.0,2.0,
ALABAMA,1,100008,Madison City,648.0,94.0,137.0,87.0,1.0,,688.0,95.0,124.0,87.0,1.0,
ALABAMA,1,100009,Al Inst Deaf And Blind,12.0,25.0,,,,,31.0,34.0,,,,
ALABAMA,1,100011,Leeds City,138.0,67.0,76.0,52.0,9.0,25.0,133.0,62.0,77.0,57.0,6.0,25.0
ALABAMA,1,100012,Boaz City,147.0,82.0,94.0,77.0,,,153.0,87.0,95.0,82.0,,
ALABAMA,1,100013,Trussville City,297.0,92.0,25.0,40.0,5.0,,357.0,91.0,48.0,45.0,,
ALABAMA,1,100018,Alabama School of Fine Arts,,,,,,,47.0,45.0,,,,
ALABAMA,1,100030,Alexander City,222.0,87.0,123.0,82.0,,,269.0,82.0,148.0,72.0,,
ALABAMA,1,100033,Glenwood Mental Health Service,,,,,,,4.0,,,,,
ALABAMA,1,100035,Learning Tree Inc,3.0,,,,,,9.0,25.0,,,,
ALABAMA,1,100042,Laurel Oaks Behavioral Health,,,,,,,3.0,,,,,
ALABAMA,1,100060,Andalusia City,128.0,87.0,78.0,87.0,1.0,,101.0,82.0,53.0,74.0,,
ALABAMA,1,100090,Anniston City,195.0,62.0,178.0,62.0,11.0,25.0,158.0,42.0,144.0,42.0,4.0,
ALABAMA,1,100100,Arab City,184.0,48.0,74.0,48.0,5.0,,226.0,48.0,84.0,48.0,5.0,
ALABAMA,1,100120,Athens City,259.0,87.0,142.0,82.0,5.0,,244.0,87.0,119.0,77.0,3.0,
ALABAMA,1,100180,Attalla City,94.0,77.0,79.0,77.0,1.0,,192.0,67.0,148.0,62.0,9.0,25.0
ALABAMA,1,100184,Excel Institute,,,,,,,,,,,,
ALABAMA,1,100185,Saraland City,159.0,87.0,100.0,87.0,11.0,25.0,200.0,92.0,119.0,87.0,13.0,25.0
ALABAMA,1,100186,Father Purcell Center,,,,,,,1.0,,,,,
ALABAMA,1,100187,Father Walters Ctr,,,,,,,,,,,,
ALABAMA,1,100210,Auburn City,544.0,93.0,183.0,87.0,2.0,,539.0,91.0,145.0,77.0,,
ALABAMA,1,100240,Autauga County,774.0,89.0,354.0,82.0,16.0,70.0,826.0,88.0,369.0,81.0,14.0,25.0
ALABAMA,1,100270,Baldwin County,2098.0,88.0,1055.0,83.0,39.0,45.0,2233.0,85.0,1040.0,76.0,21.0,40.0
ALABAMA,1,100300,Barbour County,77.0,67.0,77.0,67.0,,,77.0,72.0,77.0,72.0,,
ALABAMA,1,100330,Bessemer City,391.0,78.0,358.0,78.0,26.0,70.0,305.0,62.0,282.0,62.0,21.0,70.0
ALABAMA,1,100360,Bibb County,258.0,77.0,172.0,72.0,,,276.0,82.0,170.0,77.0,,
ALABAMA,1,100390,Birmingham City,1973.0,78.0,1795.0,76.0,81.0,72.0,1783.0,72.0,1581.0,69.0,132.0,62.0
ALABAMA,1,100420,Blount County,636.0,83.0,367.0,78.0,10.0,25.0,653.0,75.0,325.0,69.0,8.0,25.0
ALABAMA,1,100450,Brewton City,97.0,92.0,47.0,74.0,,,91.0,87.0,34.0,54.0,,
ALABAMA,1,100480,Bullock County,88.0,72.0,85.0,72.0,1.0,,119.0,32.0,112.0,32.0,1.0,
ALABAMA,1,100510,Butler County,254.0,92.0,216.0,87.0,13.0,25.0,258.0,82.0,203.0,82.0,,
ALABAMA,1,100540,Calhoun County,696.0,88.0,426.0,85.0,8.0,25.0,790.0,76.0,440.0,69.0,12.0,25.0
ALABAMA,1,100600,Chambers County,312.0,71.0,228.0,67.0,,,290.0,62.0,197.0,62.0,,
ALABAMA,1,100630,Cherokee County,325.0,74.0,231.0,72.0,,,317.0,74.0,202.0,67.0,,
ALABAMA,1,100660,Chilton County,622.0,83.0,410.0,78.0,5.0,,576.0,66.0,336.0,60.0,,
ALABAMA,1,100690,Choctaw County,124.0,77.0,101.0,77.0,1.0,,146.0,72.0,122.0,67.0,1.0,
ALABAMA,1,100720,Clarke County,210.0,87.0,164.0,82.0,2.0,,258.0,62.0,207.0,57.0,1.0,
ALABAMA,1,100750,Clay County,125.0,87.0,93.0,87.0,,,197.0,67.0,123.0,62.0,,
ALABAMA,1,100780,Cleburne County,182.0,87.0,130.0,87.0,,,179.0,87.0,97.0,82.0,1.0,
ALABAMA,1,100810,Coffee County,139.0,82.0,82.0,72.0,4.0,,161.0,77.0,85.0,72.0,15.0,25.0
ALABAMA,1,100840,Colbert County,182.0,82.0,138.0,82.0,15.0,25.0,233.0,77.0,164.0,72.0,3.0,
ALABAMA,1,100870,Conecuh County,128.0,92.0,122.0,92.0,,,112.0,77.0,105.0,77.0,,
ALABAMA,1,100900,Coosa County,91.0,82.0,76.0,82.0,,,114.0,77.0,79.0,72.0,,
ALABAMA,1,100930,Covington County,257.0,87.0,170.0,87.0,,,255.0,92.0,160.0,87.0,,
ALABAMA,1,100960,Crenshaw County,183.0,87.0,122.0,82.0,,,155.0,82.0,117.0,82.0,1.0,
ALABAMA,1,100990,Cullman City,211.0,48.0,88.0,48.0,1.0,,230.0,48.0,62.0,48.0,2.0,
ALABAMA,1,101020,Cullman County,716.0,87.0,451.0,84.0,1.0,,702.0,82.0,425.0,78.0,1.0,
ALABAMA,1,101050,Dale County,230.0,87.0,140.0,82.0,,,194.0,92.0,95.0,87.0,,
ALABAMA,1,101080,Daleville City,72.0,62.0,49.0,54.0,,,91.0,72.0,54.0,64.0,,
ALABAMA,1,101110,Dallas County,253.0,82.0,215.0,82.0,42.0,84.0,375.0,62.0,319.0,57.0,33.0,64.0
ALABAMA,1,101140,Dekalb County,707.0,84.0,538.0,81.0,23.0,40.0,661.0,74.0,447.0,68.0,15.0,25.0
ALABAMA,1,101170,Decatur City,611.0,91.0,396.0,89.0,4.0,,617.0,83.0,367.0,74.0,6.0,25.0
