STNAM,FIPST,LEAID,LEANM,ALL_MTH04NUMVALID_1314,ALL_MTH04PCTPROF_1314,ECD_MTH04NUMVALID_1314,ECD_MTH04PCTPROF_1314,HOM_MTH04NUMVALID_1314,HOM_MTH04PCTPROF_1314,ALL_MTH08NUMVALID_1314,ALL_MTH08PCTPROF_1314,ECD_MTH08NUMVALID_1314,ECD_MTH08PCTPROF_1314,HOM_MTH08NUMVALID_1314,HOM_MTH08PCTPROF_1314
ALABAMA,1,100005,Albertville City,381.0,39.0,280.0,32.0,1.0,,320.0,18.0,218.0,12.0,1.0,
ALABAMA,1,100006,Marshall County,441.0,51.0,362.0,48.0,38.0,54.0,445.0,32.0,312.0,26.0,34.0,24.0
ALABAMA,1,100007,Hoover City,1011.0,60.0,287.0,42.0,4.0,,1102.0,57.0,293.0,32.0,4.0,
ALABAMA,1,100008,Madison City,681.0,77.0,139.0,62.0,1.0,,806.0,68.0,164.0,37.0,5.0,
ALABAMA,1,100011,Leeds City,139.0,32.0,86.0,22.0,5.0,,130.0,22.0,67.0,17.0,,
ALABAMA,1,100012,Boaz City,183.0,42.0,132.0,37.0,,,152.0,37.0,91.0,27.0,1.0,
ALABAMA,1,100013,Trussville City,324.0,59.0,35.0,34.0,,,359.0,52.0,38.0,34.0,,
ALABAMA,1,100030,Alexander City,229.0,37.0,137.0,32.0,,,263.0,37.0,146.0,27.0,,
ALABAMA,1,100060,Andalusia City,142.0,37.0,82.0,22.0,,,159.0,32.0,96.0,17.0,,
ALABAMA,1,100090,Anniston City,152.0,37.0,143.0,37.0,23.0,50.0,135.0,12.0,127.0,12.0,4.0,
ALABAMA,1,100100,Arab City,178.0,62.0,75.0,57.0,3.0,,199.0,47.0,71.0,37.0,5.0,
ALABAMA,1,100120,Athens City,234.0,57.0,123.0,47.0,2.0,,262.0,42.0,138.0,27.0,4.0,
ALABAMA,1,100180,Attalla City,81.0,37.0,66.0,37.0,7.0,25.0,157.0,17.0,108.0,8.0,11.0,25.0
ALABAMA,1,100185,Saraland City,209.0,62.0,105.0,62.0,21.0,50.0,224.0,37.0,117.0,27.0,16.0,10.0
ALABAMA,1,100188,Chickasaw City,74.0,17.0,73.0,17.0,,,70.0,2.0,61.0,2.0,,
ALABAMA,1,100189,Satsuma City,96.0,42.0,44.0,34.0,,,90.0,32.0,29.0,30.0,,
ALABAMA,1,100190,Alabaster City,484.0,40.0,186.0,27.0,14.0,25.0,481.0,40.0,183.0,22.0,4.0,
ALABAMA,1,100210,Auburn City,612.0,69.0,186.0,52.0,2.0,,582.0,52.0,157.0,22.0,2.0,
ALABAMA,1,100240,Autauga County,690.0,45.0,324.0,32.0,4.0,,757.0,49.0,346.0,29.0,3.0,
ALABAMA,1,100270,Baldwin County,2259.0,53.0,1094.0,39.0,22.0,30.0,2304.0,33.0,1041.0,20.0,30.0,30.0
ALABAMA,1,100300,Barbour County,57.0,15.0,56.0,15.0,,,71.0,2.0,69.0,2.0,,
ALABAMA,1,100330,Bessemer City,337.0,24.0,307.0,24.0,15.0,25.0,275.0,2.0,244.0,2.0,20.0,10.0
ALABAMA,1,100360,Bibb County,255.0,37.0,173.0,32.0,3.0,,253.0,32.0,159.0,17.0,,
ALABAMA,1,100390,Birmingham City,1934.0,29.0,1768.0,27.0,45.0,24.0,1767.0,14.0,1602.0,11.0,51.0,15.0
ALABAMA,1,100420,Blount County,567.0,50.0,336.0,45.0,17.0,70.0,723.0,26.0,396.0,19.0,4.0,
ALABAMA,1,100450,Brewton City,84.0,62.0,45.0,54.0,,,90.0,37.0,52.0,15.0,,
ALABAMA,1,100480,Bullock County,88.0,8.0,78.0,8.0,1.0,,109.0,2.0,94.0,2.0,2.0,
ALABAMA,1,100510,Butler County,225.0,37.0,194.0,37.0,24.0,30.0,265.0,17.0,216.0,12.0,19.0,10.0
ALABAMA,1,100540,Calhoun County,652.0,47.0,396.0,37.0,10.0,25.0,798.0,26.0,475.0,18.0,10.0,25.0
ALABAMA,1,100600,Chambers County,291.0,27.0,219.0,27.0,3.0,,299.0,17.0,210.0,12.0,,
ALABAMA,1,100630,Cherokee County,326.0,49.0,209.0,42.0,52.0,34.0,336.0,29.0,216.0,22.0,36.0,24.0
ALABAMA,1,100660,Chilton County,580.0,36.0,395.0,32.0,2.0,,584.0,19.0,390.0,11.0,2.0,
ALABAMA,1,100690,Choctaw County,113.0,12.0,96.0,12.0,,,130.0,2.0,99.0,2.0,3.0,
ALABAMA,1,100720,Clarke County,224.0,37.0,175.0,27.0,,,236.0,17.0,168.0,12.0,,
ALABAMA,1,100750,Clay County,140.0,47.0,94.0,42.0,,,189.0,17.0,125.0,12.0,2.0,
ALABAMA,1,100780,Cleburne County,190.0,52.0,118.0,47.0,,,225.0,22.0,128.0,22.0,,
