STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1415,ALL_MTH04PCTPROF_1415,ECD_MTH04NUMVALID_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04NUMVALID_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08NUMVALID_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08NUMVALID_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08NUMVALID_1415,HOM_MTH08PCTPROF_1415
ALABAMA,1,100005,Albertville City,13APR16,392.0,41.0,201.0,27.0,5.0,,339.0,19.0,156.0,12.0,17.0,10.0
ALABAMA,1,100006,Marshall County,13APR16,440.0,44.0,354.0,40.0,56.0,34.0,393.0,25.0,290.0,22.0,35.0,15.0
ALABAMA,1,100007,Hoover City,13APR16,1011.0,65.0,280.0,42.0,5.0,,1140.0,61.0,271.0,32.0,6.0,25.0
ALABAMA,1,100008,Madison City,13APR16,736.0,73.0,183.0,47.0,7.0,25.0,778.0,59.0,171.0,32.0,6.0,25.0
ALABAMA,1,100011,Leeds City,13APR16,146.0,37.0,75.0,22.0,3.0,,118.0,32.0,65.0,22.0,2.0,
ALABAMA,1,100012,Boaz City,13APR16,197.0,47.0,141.0,37.0,8.0,25.0,176.0,27.0,115.0,22.0,7.0,25.0
ALABAMA,1,100013,Trussville City,13APR16,333.0,74.0,34.0,64.0,,,345.0,46.0,38.0,24.0,,
ALABAMA,1,100030,Alexander City,13APR16,217.0,42.0,149.0,37.0,,,236.0,37.0,138.0,22.0,,
ALABAMA,1,100060,Andalusia City,13APR16,121.0,27.0,79.0,22.0,1.0,,124.0,27.0,67.0,12.0,1.0,
ALABAMA,1,100090,Anniston City,13APR16,156.0,27.0,116.0,22.0,24.0,30.0,136.0,12.0,103.0,8.0,9.0,25.0
ALABAMA,1,100100,Arab City,13APR16,189.0,67.0,88.0,52.0,4.0,,186.0,47.0,68.0,37.0,6.0,25.0
ALABAMA,1,100120,Athens City,13APR16,254.0,62.0,149.0,52.0,1.0,,274.0,32.0,133.0,17.0,15.0,25.0
ALABAMA,1,100180,Attalla City,13APR16,80.0,42.0,65.0,37.0,13.0,25.0,173.0,22.0,134.0,17.0,26.0,10.0
ALABAMA,1,100185,Saraland City,13APR16,209.0,72.0,107.0,62.0,23.0,70.0,226.0,32.0,118.0,22.0,26.0,30.0
ALABAMA,1,100188,Chickasaw City,13APR16,63.0,32.0,44.0,34.0,2.0,,78.0,8.0,56.0,5.0,2.0,
ALABAMA,1,100189,Satsuma City,13APR16,99.0,82.0,47.0,84.0,1.0,,98.0,17.0,52.0,15.0,,
ALABAMA,1,100190,Alabaster City,13APR16,465.0,51.0,199.0,42.0,7.0,25.0,479.0,35.0,183.0,17.0,11.0,25.0
ALABAMA,1,100194,Pelham City,13APR16,257.0,57.0,124.0,42.0,1.0,,283.0,27.0,110.0,12.0,3.0,
ALABAMA,1,100210,Auburn City,13APR16,648.0,75.0,196.0,57.0,2.0,,626.0,50.0,162.0,17.0,6.0,25.0
ALABAMA,1,100240,Autauga County,13APR16,726.0,47.0,395.0,33.0,8.0,25.0,786.0,45.0,372.0,28.0,5.0,
ALABAMA,1,100270,Baldwin County,13APR16,2339.0,54.0,1142.0,41.0,30.0,50.0,2347.0,28.0,1001.0,15.0,31.0,15.0
ALABAMA,1,100300,Barbour County,13APR16,66.0,22.0,66.0,22.0,,,82.0,2.0,82.0,2.0,1.0,
ALABAMA,1,100330,Bessemer City,13APR16,305.0,20.0,225.0,22.0,22.0,30.0,274.0,2.0,199.0,2.0,10.0,25.0
ALABAMA,1,100360,Bibb County,13APR16,233.0,37.0,161.0,27.0,4.0,,260.0,22.0,165.0,12.0,1.0,
ALABAMA,1,100390,Birmingham City,13APR16,1877.0,21.0,1345.0,17.0,55.0,15.0,1688.0,9.0,1132.0,5.0,42.0,15.0
ALABAMA,1,100420,Blount County,13APR16,614.0,53.0,374.0,47.0,12.0,25.0,673.0,23.0,388.0,18.0,12.0,25.0
ALABAMA,1,100450,Brewton City,13APR16,89.0,62.0,54.0,54.0,,,80.0,42.0,40.0,24.0,,
ALABAMA,1,100480,Bullock County,13APR16,105.0,27.0,97.0,27.0,1.0,,104.0,2.0,88.0,2.0,2.0,
ALABAMA,1,100510,Butler County,13APR16,221.0,32.0,142.0,27.0,39.0,24.0,220.0,22.0,179.0,12.0,14.0,25.0
ALABAMA,1,100540,Calhoun County,13APR16,671.0,45.0,437.0,38.0,11.0,25.0,779.0,21.0,470.0,14.0,13.0,25.0
ALABAMA,1,100600,Chambers County,13APR16,275.0,47.0,208.0,42.0,,,274.0,17.0,198.0,12.0,,
ALABAMA,1,100630,Cherokee County,13APR16,292.0,52.0,205.0,42.0,48.0,24.0,305.0,29.0,194.0,17.0,36.0,15.0
ALABAMA,1,100660,Chilton County,13APR16,592.0,39.0,377.0,34.0,1.0,,602.0,22.0,382.0,17.0,2.0,
ALABAMA,1,100690,Choctaw County,13APR16,113.0,27.0,71.0,22.0,2.0,,141.0,2.0,122.0,2.0,2.0,
ALABAMA,1,100720,Clarke County,13APR16,188.0,32.0,109.0,27.0,1.0,,255.0,12.0,137.0,8.0,2.0,
ALABAMA,1,100750,Clay County,13APR16,120.0,42.0,84.0,42.0,,,175.0,17.0,129.0,12.0,,
ALABAMA,1,100780,Cleburne County,13APR16,213.0,52.0,141.0,47.0,2.0,,184.0,32.0,115.0,17.0,1.0,
ALABAMA,1,100810,Coffee County,13APR16,155.0,37.0,98.0,32.0,7.0,25.0,159.0,22.0,101.0,17.0,5.0,
ALABAMA,1,100840,Colbert County,13APR16,185.0,27.0,151.0,22.0,29.0,30.0,199.0,12.0,138.0,8.0,27.0,10.0
ALABAMA,1,100870,Conecuh County,13APR16,89.0,37.0,86.0,37.0,3.0,,110.0,12.0,101.0,8.0,1.0,
ALABAMA,1,100900,Coosa County,13APR16,72.0,22.0,56.0,15.0,1.0,,70.0,17.0,49.0,15.0,,
ALABAMA,1,100930,Covington County,13APR16,257.0,47.0,160.0,37.0,,,247.0,17.0,149.0,17.0,,
ALABAMA,1,100960,Crenshaw County,13APR16,166.0,42.0,122.0,37.0,1.0,,184.0,17.0,116.0,8.0,1.0,
ALABAMA,1,100990,Cullman City,13APR16,247.0,77.0,91.0,72.0,1.0,,224.0,62.0,83.0,52.0,,
ALABAMA,1,101020,Cullman County,13APR16,713.0,45.0,479.0,39.0,7.0,25.0,799.0,27.0,490.0,19.0,7.0,25.0
ALABAMA,1,101050,Dale County,13APR16,210.0,52.0,129.0,42.0,,,270.0,37.0,163.0,27.0,,
ALABAMA,1,101080,Daleville City,13APR16,64.0,22.0,50.0,15.0,,,92.0,2.0,69.0,2.0,,
ALABAMA,1,101110,Dallas County,13APR16,197.0,22.0,152.0,22.0,19.0,10.0,272.0,17.0,182.0,12.0,23.0,10.0
ALABAMA,1,101140,Dekalb County,13APR16,662.0,42.0,466.0,35.0,44.0,34.0,706.0,17.0,447.0,13.0,52.0,5.0
ALABAMA,1,101170,Decatur City,13APR16,646.0,48.0,347.0,37.0,9.0,25.0,651.0,22.0,407.0,10.0,2.0,
ALABAMA,1,101200,Demopolis City,13APR16,132.0,47.0,86.0,32.0,,,193.0,22.0,115.0,12.0,,
ALABAMA,1,101230,Dothan City,13APR16,731.0,51.0,492.0,40.0,57.0,34.0,712.0,30.0,479.0,18.0,42.0,5.0
ALABAMA,1,101260,Elba City,13APR16,46.0,34.0,30.0,30.0,7.0,25.0,48.0,15.0,26.0,10.0,,
ALABAMA,1,101290,Elmore County,13APR16,906.0,50.0,500.0,41.0,11.0,25.0,863.0,27.0,481.0,16.0,2.0,
ALABAMA,1,101320,Enterprise City,13APR16,513.0,58.0,243.0,42.0,16.0,30.0,540.0,44.0,195.0,22.0,8.0,25.0
ALABAMA,1,101350,Escambia County,13APR16,328.0,49.0,244.0,42.0,,,330.0,26.0,253.0,17.0,,
ALABAMA,1,101380,Etowah County,13APR16,682.0,54.0,377.0,46.0,2.0,,649.0,23.0,366.0,16.0,5.0,
ALABAMA,1,101410,Eufaula City,13APR16,204.0,52.0,152.0,42.0,,,205.0,27.0,146.0,17.0,,
ALABAMA,1,101440,Fairfield City,13APR16,129.0,32.0,101.0,32.0,35.0,24.0,148.0,2.0,100.0,2.0,20.0,10.0
ALABAMA,1,101470,Fayette County,13APR16,181.0,32.0,120.0,22.0,1.0,,182.0,22.0,107.0,12.0,,
