STNAM,FIPST,LEAID,ST_LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1617,ALL_MTH04PCTPROF_1617,ECD_MTH04NUMVALID_1617,ECD_MTH04PCTPROF_1617,HOM_MTH04NUMVALID_1617,HOM_MTH04PCTPROF_1617,ALL_MTH08NUMVALID_1617,ALL_MTH08PCTPROF_1617,ECD_MTH08NUMVALID_1617,ECD_MTH08PCTPROF_1617,HOM_MTH08NUMVALID_1617,HOM_MTH08PCTPROF_1617
ALABAMA,1,100005,AL-101,Albertville City,12APR18,425.0,42.0,425.0,42.0,4.0,,375.0,27.0,375.0,27.0,2.0,
ALABAMA,1,100006,AL-048,Marshall County,12APR18,419.0,55.0,343.0,49.0,20.0,30.0,430.0,27.0,338.0,25.0,18.0,30.0
ALABAMA,1,100007,AL-158,Hoover City,12APR18,1032.0,70.0,288.0,42.0,2.0,,1069.0,71.0,270.0,42.0,3.0,
ALABAMA,1,100008,AL-169,Madison City,12APR18,743.0,79.0,172.0,57.0,6.0,25.0,856.0,69.0,172.0,47.0,4.0,
ALABAMA,1,100011,AL-167,Leeds City,12APR18,161.0,47.0,93.0,37.0,11.0,25.0,125.0,32.0,74.0,27.0,15.0,25.0
ALABAMA,1,100012,AL-115,Boaz City,12APR18,180.0,52.0,128.0,52.0,8.0,25.0,177.0,37.0,118.0,27.0,3.0,
ALABAMA,1,100013,AL-205,Trussville City,12APR18,360.0,84.0,30.0,70.0,,,381.0,59.0,47.0,24.0,1.0,
ALABAMA,1,100030,AL-102,Alexander City,12APR18,232.0,42.0,157.0,32.0,,,204.0,37.0,114.0,22.0,,
ALABAMA,1,100060,AL-104,Andalusia City,12APR18,149.0,47.0,95.0,37.0,,,128.0,27.0,64.0,2.0,,
ALABAMA,1,100090,AL-105,Anniston City,12APR18,139.0,22.0,139.0,22.0,5.0,,114.0,2.0,114.0,2.0,16.0,10.0
ALABAMA,1,100100,AL-106,Arab City,12APR18,189.0,87.0,77.0,72.0,1.0,,184.0,52.0,69.0,47.0,,
ALABAMA,1,100120,AL-107,Athens City,12APR18,315.0,60.0,158.0,52.0,6.0,25.0,337.0,31.0,143.0,22.0,4.0,
ALABAMA,1,100180,AL-109,Attalla City,12APR18,97.0,52.0,74.0,47.0,10.0,25.0,141.0,17.0,88.0,12.0,10.0,25.0
ALABAMA,1,100185,AL-187,Saraland City,12APR18,232.0,82.0,131.0,72.0,1.0,,216.0,42.0,97.0,27.0,,
ALABAMA,1,100188,AL-121,Chickasaw City,12APR18,92.0,37.0,92.0,37.0,6.0,25.0,70.0,8.0,70.0,8.0,2.0,
ALABAMA,1,100189,AL-196,Satsuma City,12APR18,115.0,67.0,54.0,54.0,3.0,,117.0,42.0,44.0,34.0,,
