GeoId,Geography,LEAID,Year,Iteration,pct_Below PovLvL_All_Ages,pctmoe_Below PovLvL_All_Ages,pct_Below PovLvL_Age_gte_18,pctmoe_Below PovLvL_Age_gte_18,pct_Below PovLvL_Age_18_64,pctmoe_Below PovLvL_Age_18_64,pct_Below PovLvL_Age_gte_65,pctmoe_Below PovLvL_Age_gte_65,LEA_NAME,ST_NAME,LEA_CWIFTEST,LEA_CWIFTSE
97000US2700106,A.C.G.C. Public School District,2700106,2014-2018,202,11.8,3.1,11.8,3.1,11.8,3.1,,,A.C.G.C. Public School District,Minnesota,0.8140000000000001,0.034
97000US4500690,Abbeville County School District,4500690,2014-2018,202,21.9,5.5,21.9,5.5,21.9,5.5,0.0,100.0,Abbeville County School District,South Carolina,0.777,0.035
97000US5500030,Abbotsford School District,5500030,2014-2018,202,16.0,6.9,16.0,6.9,16.1,6.9,0.0,100.0,Abbotsford School District,Wisconsin,0.795,0.023
97000US4807380,Abbott Independent School District,4807380,2014-2018,202,0.0,17.3,0.0,17.3,0.0,17.3,,,Abbott Independent School District,Texas,0.823,0.039
97000US5300030,Aberdeen School District,5300030,2014-2018,202,18.3,5.1,18.3,5.1,18.4,5.2,0.0,98.9,Aberdeen School District,Washington,0.866,0.032
97000US2800360,Aberdeen School District,2800360,2014-2018,202,14.9,7.5,14.9,7.5,15.1,7.6,0.0,88.4,Aberdeen School District,Mississippi,0.767,0.038
97000US1600030,Aberdeen School District 58,1600030,2014-2018,202,16.0,12.5,16.0,12.5,16.0,12.6,0.0,100.0,Aberdeen School District 58,Idaho,0.764,0.039
97000US4807410,Abernathy Independent School District,4807410,2014-2018,202,6.9,6.9,6.9,6.9,6.9,6.9,,,Abernathy Independent School District,Texas,0.826,0.025
97000US4807440,Abilene Independent School District,4807440,2014-2018,202,16.7,2.3,16.7,2.4,16.8,2.4,0.0,100.0,Abilene Independent School District,Texas,0.825,0.023
97000US2003180,Abilene Unified School District 435,2003180,2014-2018,202,2.3,2.2,2.3,2.2,2.3,2.2,0.0,100.0,Abilene Unified School District 435,Kansas,0.7120000000000001,0.043
97000US3400660,Absecon City School District,3400660,2014-2018,202,5.8,3.9,5.8,3.9,5.8,3.9,,,Absecon City School District,New Jersey,1.022,0.02
97000US1700105,A-C Central Community Unit School District 262,1700105,2014-2018,202,2.0,2.2,2.0,2.2,2.0,2.2,,,A-C Central Community Unit School District 262,Illinois,0.759,0.040999999999999995
97000US4807470,Academy Independent School District,4807470,2014-2018,202,2.6,2.3,2.6,2.3,2.6,2.3,,,Academy Independent School District,Texas,0.8490000000000001,0.02
97000US2200030,Acadia Parish School District,2200030,2014-2018,202,21.5,3.9,21.5,3.9,21.6,3.9,0.0,39.7,Acadia Parish School District,Louisiana,0.866,0.035
97000US5100060,Accomack County Public Schools,5100060,2014-2018,202,22.4,6.1,22.4,6.1,22.4,6.1,20.0,38.6,Accomack County Public Schools,Virginia,0.86,0.034
97000US0600001,Acton-Agua Dulce Unified School District,600001,2014-2018,202,5.1,3.7,5.1,3.7,5.2,3.7,0.0,58.2,Acton-Agua Dulce Unified School District,California,1.136,0.004
97000US2700126,Ada-Borup Public School District,2700126,2014-2018,202,8.6,4.5,8.7,4.6,8.8,4.6,0.0,100.0,Ada-Borup Public School District,Minnesota,0.852,0.035
97000US2100030,Adair County School District,2100030,2014-2018,202,23.3,6.4,23.3,6.4,23.4,6.4,0.0,76.1,Adair County School District,Kentucky,0.6970000000000001,0.043
97000US1903090,Adair-Casey Community School District,1903090,2014-2018,202,6.9,4.3,6.9,4.3,6.9,4.3,,,Adair-Casey Community School District,Iowa,0.807,0.040999999999999995
97000US1800060,Adams Central Community Schools,1800060,2014-2018,202,21.1,7.6,21.1,7.6,21.1,7.6,,,Adams Central Community Schools,Indiana,0.773,0.028999999999999998
