STATE,NAME,YRDATA,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,DIVISION,REGION,MEAN INCOME
AL,BALDWIN COUNTY SCHOOL DISTRICT,10,260945,30989,8795,7272,6023,8899,107281,81381,0,8616,17284,122675,53190,53110,0,50398,24,11785,7278,255644,234058,136645,54449,136628,89605,34866,82848,13563,11676,3527,16412,37670,14582,10446,279,10861,315616,1708,8639,100.0,11.9,3.4,41.1,31.2,47.0,20.4,19.3,4.5,8268.0,4901.0,1953.0,4898.0,3214.0,1251,2972.0,486,419,127,589,East South Central,South,64806
FL,CLAY COUNTY SCHOOL DISTRICT,10,45015,2697,672,672,565,788,38799,9160,0,1279,28360,3519,1291,1286,0,566,0,1156,506,19322,17889,10150,4371,10721,7031,2756,5461,857,442,743,950,2469,1707,1024,25,384,6377,0,349,100.0,6.0,1.5,86.2,20.3,7.8,2.9,1.3,2.6,8243.0,4808.0,2071.0,5079.0,3331.0,1306,2587.0,406,209,352,450,South Atlantic,South,68240
FL,CLAY COUNTY SCHOOL DISTRICT,10,311728,39322,5039,10079,6312,17892,172790,82391,30423,4602,55374,99616,75666,75666,0,0,0,15279,8671,342474,288223,190487,52987,184290,131096,35726,90384,14263,14227,2873,15190,43831,13549,50806,0,3445,74835,0,3412,100.0,12.6,1.6,55.4,26.4,32.0,24.3,0.0,4.9,7982.0,5298.0,1474.0,5125.0,3646.0,994,2514.0,397,396,80,422,South Atlantic,South,68240
AL,CULLMAN COUNTY SCHOOL DISTRICT,10,84449,13214,3403,2906,3091,3814,52612,43356,0,3756,5500,18623,6051,6030,0,5612,0,4585,2375,85371,83283,47844,20294,48754,32585,12842,27524,4330,3183,1127,6135,12749,7005,916,80,1092,13214,0,1937,100.0,15.6,4.0,62.3,51.3,22.1,7.2,6.6,5.4,8199.0,4789.0,2031.0,4880.0,3261.0,1285,2755.0,433,319,113,614,East South Central,South,45295
AL,ELMORE COUNTY SCHOOL DISTRICT,10,93950,16195,3076,6214,2693,4212,53822,43373,0,4737,5712,23933,9298,9267,0,7125,57,5418,2035,96023,90250,50143,21909,53679,33850,13889,28966,4085,5369,1908,4934,12670,7605,3088,77,2608,40090,9325,1890,100.0,17.2,3.3,57.3,46.2,25.5,9.9,7.6,5.8,8019.0,4575.0,1999.0,4897.0,3088.0,1267,2643.0,373,490,174,450,East South Central,South,65957
FL,ESCAMBIA COUNTY SCHOOL DISTRICT,10,44788,8466,2479,1586,2048,2353,24932,19307,0,2912,2713,11390,5201,5146,0,3274,0,1820,1095,45077,43396,24735,10783,24108,15775,6424,15480,2332,1584,1086,3024,7454,3808,1232,67,382,7030,0,7105,100.0,18.9,5.5,55.7,43.1,25.4,11.6,7.3,4.1,9074.0,5292.0,2307.0,5158.0,3375.0,1374,3312.0,499,339,232,647,South Atlantic,South,55689
FL,ESCAMBIA COUNTY SCHOOL DISTRICT,10,394851,77429,22122,17329,12697,25281,158799,68768,25311,5311,59409,158623,123970,123970,0,0,415,13378,20860,387349,352524,200864,63225,201438,127288,37873,127831,16780,28082,4507,14106,64356,23255,32121,0,2704,56033,0,4380,100.0,19.6,5.6,40.2,17.4,40.2,31.4,0.1,3.4,8557.0,4946.0,1557.0,4960.0,3134.0,933,3148.0,413,691,111,347,South Atlantic,South,55689
AL,DOTHAN CITY SCHOOL DISTRICT,10,84238,17439,5107,3146,3498,5688,43736,36102,0,3136,4498,23063,8179,8161,0,10034,0,1822,3028,85232,84201,47871,20119,50883,32564,12979,27066,4671,4145,1369,5118,11763,6252,323,165,543,10679,3752,879,100.0,20.7,6.1,51.9,42.9,27.4,9.7,11.9,2.2,9075.0,5206.0,2188.0,5534.0,3541.0,1412,2944.0,508,451,149,557,East South Central,South,53714
AL,BIRMINGHAM CITY SCHOOL DISTRICT,10,291248,57696,25318,8501,10947,12930,127202,104608,0,5628,16966,106350,77813,77812,0,5784,0,4360,18393,371343,280946,163672,61836,144744,94568,35767,113323,17965,25104,6540,18308,45406,22879,86749,93,3555,462447,0,1567,100.0,19.8,8.7,43.7,35.9,36.5,26.7,2.0,1.5,10229.0,6125.0,2314.0,5408.0,3539.0,1339,4241.0,672,939,245,685,East South Central,South,42347
AL,HOOVER CITY SCHOOL DISTRICT,10,149924,9191,863,3055,1557,3716,54590,43400,0,5764,5426,86143,65476,65472,0,3304,0,11689,5674,152411,145335,83174,34081,83437,54814,20826,49795,8220,5851,1576,9205,24943,12103,927,89,6060,297009,115217,121976,100.0,6.1,0.6,36.4,28.9,57.5,43.7,2.2,7.8,10937.0,6453.0,2644.0,6473.0,4253.0,1616,3863.0,638,454,122,714,East South Central,South,87052
