"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native"
"9700000US0100007","Hoover City School District, Alabama","31346","1780","75.4","3.7","15.8","3.6","N","N","N","N","N","N","N","N","N","N","N","N","74.3","3.8","4.3","1.8","40.2","4.3","35.1","4.2","20.4","2.7","20832","1331","N","N","N","N","N","N","N","N","N","N","10514","1601","60.1","8.6","57.5","8.4","2.6","1.9","39.9","8.6","31.5","8.2","8.4","4.8","23.4","(X)","21.9","(X)","26.1","(X)","70449","7981","80358","7046","43097","19553","-","57230","28195","-","**","N","N","66346","54399","47299","39597","80930","7033","34879","8191","70776","10570","92047","17110","50040","18138","98880","9147","101447","18287","92426","17402","111521","9287","37841","10481","76580","47040","43165","7338","37719","3150","37703","3205","42619","32672","52748","10878","45744","8975","61793","4601","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US0100270","Baldwin County School District, Alabama","77978","3040","89.2","1.6","7.3","1.0","N","N","N","N","N","N","N","N","N","N","N","N","87.5","1.4","2.8","1.2","31.0","1.9","37.8","1.9","28.4","1.4","56774","2773","37.6","3.2","62.4","3.2","78.2","3.0","17.6","2.6","4.2","1.6","21204","2399","49.9","5.8","43.1","5.7","6.7","4.4","50.1","5.8","40.8","6.3","9.4","3.7","26.2","(X)","27.5","(X)","22.7","(X)","48378","2633","50524","2149","29033","9882","93643","21622","685","-","**","64357","25787","28693","962","57538","35788","50660","2069","22537","30662","50131","5592","59041","7659","40863","4264","57055","5924","51518","5497","62626","6707","69612","8791","26545","5350","34554","9844","27224","4958","22970","6547","18497","3448","59041","55206","31378","3875","24757","7681","50034","36334","(X)","(X)","(X)","(X)","(X)","(X)","892"
"9700000US0100390","Birmingham City School District, Alabama","88192","3684","25.6","1.9","70.5","1.9","N","N","N","N","N","N","N","N","N","N","3.3","0.8","23.8","1.9","5.4","1.0","35.4","2.4","39.6","2.3","19.7","1.5","47133","1884","43.1","3.6","56.9","3.6","46.2","3.1","47.1","2.9","6.7","1.8","41059","3119","53.1","3.2","47.3","3.4","5.8","1.9","46.9","3.2","39.8","3.4","7.1","2.1","35.1","(X)","40.4","(X)","28.6","(X)","30701","1518","41313","4352","26746","2322","-","40451","18060","N","N","N","N","56328","48820","30712","20208","42148","5328","12659","4286","32859","4193","34714","3237","24127","4057","36585","2395","25827","4390","46068","4976","60820","5708","23347","2604","31875","18546","21206","1820","18236","2989","17024","1468","35432","11032","27133","7660","21106","6523","50071","18574","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US0101020","Cullman County School District, Alabama","25632","1404","96.5","1.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","95.2","1.5","4.0","1.9","29.0","3.4","40.1","3.1","26.9","2.6","17947","1463","N","N","N","N","N","N","N","N","N","N","7685","1069","47.4","8.3","40.9","7.2","6.5","5.1","52.6","8.3","43.6","8.2","9.0","6.1","27.8","(X)","32.2","(X)","16.8","(X)","38435","3401","39083","3509","2,500-","***","25139","43435","16987","-","**","N","N","N","N","N","N","39696","3327","35112","20568","37929","6007","43904","7533","30689","5163","47517","4737","40312","4537","49882","4187","54171","6403","31438","5041","31196","5728","18431","4889","17007","2853","16875","2444","20764","15729","22145","9630","20517","9679","29816","26734","(X)","(X)","(X)","(X)","(X)","(X)","24541"
"9700000US0101230","Dothan City School District, Alabama","25231","1080","66.9","2.1","30.3","1.8","N","N","N","N","N","N","N","N","N","N","N","N","64.5","2.3","4.4","1.1","33.1","2.5","38.3","2.1","24.2","1.9","16780","946","42.3","3.8","57.7","3.8","68.1","3.4","27.4","3.2","4.5","1.2","8451","736","60.0","4.1","54.7","4.1","5.3","1.8","40.0","4.1","32.7","4.2","7.3","2.5","29.1","(X)","29.4","(X)","28.1","(X)","42665","2738","52717","4172","22400","3010","N","N","N","-","**","50644","34172","56875","14324","N","N","53441","4011","17258","3478","47137","4230","48705","5120","34570","2680","54109","4380","50758","12047","55837","4856","76225","3860","19367","4774","36184","7179","25388","4318","21533","1822","20462","3120","46859","18615","33750","4720","31737","4007","46611","6864","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US0101290","Elmore County School District, Alabama","25044","1429","80.8","3.8","17.8","3.7","N","N","N","N","N","N","N","N","N","N","N","N","78.7","3.7","2.8","2.3","35.4","4.1","41.9","3.4","19.9","2.5","18163","1454","N","N","N","N","N","N","N","N","N","N","6881","1220","56.1","9.5","50.7","8.9","5.5","4.6","43.9","9.5","39.9","9.4","4.0","3.2","21.7","(X)","22.3","(X)","20.3","(X)","52469","5712","54675","6538","44535","11107","N","N","N","-","**","-","**","N","N","16480","732","55717","6847","60534","6389","49337","5027","61830","5143","40517","4444","61075","6741","51859","11930","65000","7660","70272","7784","26697","18750","51287","17684","34937","6202","31206","7588","29649","5408","69205","146979","40851","12631","42174","12701","27599","21855","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US0101800","Huntsville City School District, Alabama","70499","2350","65.1","2.3","29.7","2.2","N","N","N","N","N","N","N","N","N","N","N","N","62.6","2.4","4.7","1.3","33.1","2.6","39.3","2.5","23.0","1.7","40689","2021","41.2","3.3","58.8","3.3","69.6","3.3","21.5","2.7","8.9","2.6","29810","2641","53.8","3.8","49.9","3.8","3.9","1.3","46.2","3.8","38.9","4.0","7.3","3.0","26.9","(X)","28.9","(X)","23.6","(X)","46407","3013","62085","4392","25476","2586","45426","47491","23574","-","**","32500","18675","N","N","27556","14053","65218","5190","19063","10146","46140","5493","53387","6549","45113","5998","64217","5771","58472","18395","66037","5780","81960","7993","25741","3450","36742","2104","26947","2034","23344","4430","22168","3481","46974","18125","31495","7046","31611","8229","31187","19809","(X)","(X)","(X)","(X)","(X)","(X)","37929"
"9700000US0101920","Jefferson County School District, Alabama","88485","3097","69.5","1.9","28.0","1.9","N","N","N","N","N","N","N","N","N","N","N","N","68.4","1.8","2.6","1.0","31.0","2.4","41.9","2.2","24.5","1.8","60225","2455","36.3","3.4","63.7","3.4","74.0","2.4","20.6","2.3","5.5","1.3","28260","2726","53.6","4.8","47.1","4.7","6.5","2.6","46.4","4.8","40.6","4.8","5.8","2.1","34.1","(X)","35.0","(X)","31.3","(X)","47789","3432","50963","2348","41423","5822","N","27431","13100","-","**","N","N","53446","50078","35429","6602","51136","2279","27201","10968","54736","5897","54388","4237","34678","3327","59224","4769","58516","10006","59514","4698","72374","5296","29049","4219","48411","7734","29513","3563","25804","2490","25037","2566","44601","29274","35099","7800","31780","5240","49903","34992","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US0102220","Madison County School District, Alabama","49350","2231","78.0","3.0","18.3","2.8","N","N","N","N","N","N","N","N","N","N","N","N","77.5","3.0","1.8","0.9","35.1","3.8","42.8","3.4","20.3","2.9","35743","2007","N","N","N","N","N","N","N","N","N","N","13607","2006","56.9","8.0","53.1","8.6","3.8","3.0","43.1","8.0","38.7","8.0","4.4","3.1","27.1","(X)","24.7","(X)","29.4","(X)","62092","3214","64344","6851","50805","9372","N","79547","23937","N","N","92817","89355","46803","7586","97576","87576","64652","7786","30026","23292","61774","7620","78988","7047","42116","4202","75576","8291","63930","10948","79151","4267","82758","3671","51082","8473","36624","10850","35625","8110","25925","12424","25685","11341","42222","135382","42500","7843","40449","10264","77224","77869","(X)","(X)","(X)","(X)","(X)","(X)","N"
