"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","32355","2061","73.9","3.4","20.4","3.8","N","N","N","N","N","N","N","N","N","N","N","N","72.3","3.5","1.9","1.2","34.6","3.8","37.7","3.6","25.8","3.7","22977","1148","N","N","N","N","N","N","N","N","N","N","9378","1850","63.3","7.6","60.2","8","3.1","2.3","36.7","7.6","32.9","7.7","3.7","2.6","28.6","(X)","31.7","(X)","20.6","(X)","76793","6771","87509","10854","48935","9251","-","**","80534","44594","-","**","-","**","N","N","51439","50671","87776","11684","19504","15537","80480","10116","101462","16943","55362","2942","94524","12259","103744","21831","89626","9921","106947","13141","48226","9230","44059","14488","44784","4356","40283","5120","39299","5965","85721","71811","54218","8313","54634","7197","44494","106633","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","72269","2478","89.4","2.1","9","2","N","N","N","N","N","N","N","N","N","N","N","N","87.6","2","2.3","0.9","25.1","2.5","38.3","2.1","34.2","1.9","45858","2944","34.5","3.1","65.5","3.1","79.8","3.4","14.8","2.7","5.4","2","26411","2781","57","6.2","51.3","6.1","5.8","2.8","43","6.2","36.7","6.5","6.2","2.6","37.6","(X)","41.8","(X)","30.1","(X)","52003","2709","53742","3728","29810","10599","53559","32194","-","**","-","**","-","**","N","N","N","N","53457","3699","51741","42248","50270","5593","58790","6837","46814","5423","65855","4469","60679","8760","67249","4304","76307","5573","34236","13043","44568","13157","30964","4498","25619","4177","23761","3850","58117","24590","39277","8037","35883","6441","56732","12084","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","93467","2898","28.1","2.1","69.2","2.2","N","N","N","N","N","N","N","N","N","N","N","N","27.1","2.1","5.3","1.3","34.8","2.4","38.2","2.4","21.7","1.5","47331","2484","40.7","3.6","59.3","3.6","43.6","3.7","46.4","3.8","10","2.6","46136","3508","53","3.4","46.1","3.9","6.9","2.1","47","3.4","38.1","3.4","8.9","2.3","44.8","(X)","46.1","(X)","42.4","(X)","32378","2224","50118","8605","27592","3228","N","N","57906","24755","-","**","34947","20449","20632","3581","40160","11604","48750","10355","18267","3614","33582","4123","37656","3702","30258","3248","39953","3048","22036","4044","51693","4708","66704","4521","21567","1557","41590","17455","24613","2741","23861","3643","21177","3385","44295","9881","25797","5669","22385","3003","52325","18505","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","24252","1161","97.9","0.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","95.3","1.5","2.7","1.5","26.1","3.3","40.3","3.4","30.9","2.9","16310","1455","N","N","N","N","N","N","N","N","N","N","7942","1182","54.1","7.2","50.5","7.4","3.6","3.5","45.9","7.2","39.7","7.3","6.2","3.6","39","(X)","42.5","(X)","31.9","(X)","36774","2621","36987","2781","N","N","-","**","71058","49680","-","**","-","**","N","N","25896","25183","37021","2528","43924","41930","40907","11568","41582","9645","29830","3664","45107","6592","50231","10044","42320","6208","51536","4163","26759","6190","32784","7754","19941","2253","16891","2223","16317","2071","60823","41889","27286","8441","27671","10088","21455","21670","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25709","771","64.1","1.6","32.9","1.5","N","N","N","N","N","N","N","N","N","N","N","N","62.9","1.7","3.4","0.9","32.7","2.5","36.8","2.2","27","1.6","16686","792","41","3.2","59","3.2","65.4","2.9","28.6","2.5","5.9","1.8","9023","796","58.5","3.3","54.1","3.6","4.5","1.6","41.5","3.3","34.4","3.4","7.1","2.4","38.1","(X)","38.4","(X)","36.5","(X)","44208","2572","55599","3103","26622","5058","63833","887","32240","18879","-","**","77321","22305","35313","6551","50357","25411","55623","3004","18201","10541","44992","6169","52237","3336","39940","3824","54293","2783","47806","5193","57663","4272","69178","3342","25516","3973","41172","5189","26479","3668","20673","2847","19335","2635","41308","14786","40516","7031","35466","7811","59500","25846","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","27124","1090","79.6","3.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77","3.2","3.8","2.3","30.9","3.6","40.9","3","24.5","2.4","20255","1509","N","N","N","N","N","N","N","N","N","N","6869","1167","50.2","8.7","43.7","9.5","6.5","5.7","49.8","8.7","46.8","9.3","2.9","3.1","29.2","(X)","28.7","(X)","30","(X)","53829","7594","56219","8221","45113","7533","-","**","N","N","-","**","-","**","N","N","26625","1859","58797","11897","26922","14732","66736","10908","66289","13028","34446","5772","69489","4195","71488","11527","68321","8221","82539","14063","33486","17896","58951","26674","27032","4967","30586","4322","30928","3374","27456","29143","19464","7493","19425","7984","42569","79120","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","77904","2562","66.9","2.5","27.7","2.5","N","N","N","N","N","N","N","N","N","N","N","N","63.3","2.5","4.9","1.2","34.3","2.7","35.5","2.4","25.2","1.5","44353","2324","41.5","3.2","58.5","3.2","69.6","3.4","22.8","3.2","7.7","1.8","33551","2452","53.5","4.3","48.3","4.6","5.2","2.4","46.5","4.3","36.3","4.3","10.2","3.8","31","(X)","31.2","(X)","29.5","(X)","45981","3946","57691","5085","27927","5458","75809","42556","N","N","-","**","N","N","N","N","25194","4293","59581","4495","15662","8136","40816","4737","60256","5710","48741","4817","66372","5079","52408","10736","73708","5082","92186","8192","25809","5555","36601","10079","30722","3784","25949","4224","23919","3541","43479","27425","35783","8136","29274","4718","46225","8699","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","88484","3061","69.2","2.1","27.8","2","N","N","N","N","N","N","N","N","N","N","N","N","68.2","2.2","2.6","1","31.9","2.5","42","2.2","23.5","1.6","62034","2523","39.2","3.2","60.8","3.2","70","3.1","24.2","3","5.8","1.6","26450","2977","58.6","4.8","53.6","5.2","5.1","2.9","41.4","4.8","34.2","4.8","7.2","2.8","33.9","(X)","35.6","(X)","28.8","(X)","52479","4107","57652","3559","44019","7542","N","N","61642","33403","-","**","26573","22815","N","N","42249","4623","58217","3685","30512","23429","55662","7352","66982","4239","34317","3671","66003","3682","61438","5345","67542","5929","78905","5544","31568","7928","40940","13108","29573","3698","26081","2441","24898","2647","35577","38353","36389","6217","29857","6332","79955","24605","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","47729","2087","77.9","2.6","17.3","2.4","N","N","N","N","N","N","N","N","N","N","N","N","75.7","2.8","2.5","1.4","31.1","3.6","46","3.7","20.4","2.7","35287","1604","N","N","N","N","N","N","N","N","N","N","12442","1956","51.4","8.8","38.1","6.6","13.3","7.2","48.6","8.8","43.8","8.8","4.9","3.4","25.8","(X)","26.8","(X)","22.7","(X)","66068","5018","67238","6211","52668","20948","100273","69872","N","N","-","**","-","**","46792","40260","66536","15721","67346","6633","16508","24210","67288","14669","72221","6431","52886","13652","74449","6607","69363","14374","75730","9067","84979","5468","39672","11167","56557","20861","41109","5561","37314","5189","36585","6635","38087","16554","57267","21483","60147","27142","56822","49524","(X)","(X)","(X)","(X)","(X)","(X)"
